Designator,Mid X,Mid Y,Rotation,Layer
GND1,191.82,-76.94,0.0,top
HV1,240.5,-102.75,0.0,top
HVGND1,238.2,-102.75,0.0,top
LowerRegister1,177.275,-74.465,90.0,top
NX1,224.654774,-131.300636,0.0,top
NX2,197.32144,-131.300636,0.0,top
NX3,169.988107,-131.300636,0.0,top
NX4,142.654774,-131.300636,0.0,top
R1,234.325,-103.343033,270.0,top
R2,228.675,-103.343033,270.0,top
R3,223.025,-103.343033,270.0,top
R4,217.375,-103.343033,270.0,top
RA1,236.82,-84.69,270.0,top
RA2,231.173324,-84.69,270.0,top
RA3,225.526658,-84.69,270.0,top
RA4,219.879992,-84.69,270.0,top
RCLK1,194.82,-76.94,0.0,top
RD0,152.12,-84.69,270.0,top
RD1,157.766666,-84.69,270.0,top
RD10,208.58666,-84.69,270.0,top
RD10-1,206.12,-103.343033,270.0,top
RD11,214.233326,-84.69,270.0,top
RD11-1,211.72,-103.343033,270.0,top
RD2,163.413332,-84.69,270.0,top
RD3,169.059998,-84.69,270.0,top
RD4,174.706664,-84.69,270.0,top
RD5,180.35333,-84.69,270.0,top
RD6,185.999996,-84.69,270.0,top
RD7,191.646662,-84.69,270.0,top
RD8,197.293328,-84.69,270.0,top
RD9,202.939994,-84.69,270.0,top
RL1,235.6,-94.0,270.0,top
RL2,229.95,-94.0,270.0,top
RL3,224.3,-94.0,270.0,top
RL4,218.65,-94.0,270.0,top
RLD0,150.85,-94.0,270.0,top
RLD1,156.5,-94.0,270.0,top
RLD10,207.35,-94.0,270.0,top
RLD11,213.0,-94.0,270.0,top
RLD2,162.15,-94.0,270.0,top
RLD3,167.8,-94.0,270.0,top
RLD4,173.45,-94.0,270.0,top
RLD5,179.1,-94.0,270.0,top
RLD6,184.75,-94.0,270.0,top
RLD7,190.4,-94.0,270.0,top
RLD8,196.05,-94.0,270.0,top
RLD9,201.7,-94.0,270.0,top
R_vamp1,238.95,-109.25,180.0,top
SCLK1,195.07,-64.94,0.0,top
SDA1,164.57,-77.94,0.0,top
UpperRegister1,216.495,-74.465,90.0,top
VIN1,189.32,-66.19,0.0,top
